country_code,country_code_a3,country_name,stage1_oil_fiscal,stage2_fiscal_inflation,stage3_inflation_employment,stage4_employment_consumption,stage5_consumption_growth,transmission_speed,amplification_factor,source,source_year,is_estimate,confidence,notes,empirical_stage1,empirical_stage2,empirical_stage3,empirical_stage4,empirical_stage5,empirical_flag,data_quality_flag,empirical_stage1_low,empirical_stage1_high,empirical_stage2_low,empirical_stage2_high,empirical_stage3_low,empirical_stage3_high,empirical_stage4_low,empirical_stage4_high,empirical_stage5_low,empirical_stage5_high,regime_flag
SA,SAU,Saudi Arabia,0.82,0.48,0.38,0.42,0.52,medium,0.9,IMF_AIV_2023,2023,True,high,Vision 2030 diversification and VAT reform partially decouple fiscal from oil; SAMA/PIF buffers dampen downstream stages,0.001434771250841426,0.002984272448591852,,,0.07775309559815428,True,stage3_insufficient_data;stage4_insufficient_data,0.01550763500427887,0.017729887087101173,0.005533063593136001,0.007068224047362522,,,,,0.14394127097767873,0.0017114413630476104,
IQ,IRQ,Iraq,0.94,0.76,0.62,0.58,0.68,fast,1.25,IMF_AIV_2023,2023,True,medium,Oil = 85%+ fiscal revenue; weak non-oil sector amplifies every downstream stage; poor governance raises amplification,0.054087313304788776,0.14724086026750055,,,0.26586164076002894,True,stage3_insufficient_data;stage4_insufficient_data,0.009256863570492366,0.11455644949169279,0.3652486200614424,0.044904499979613974,,,,,0.4034986917028914,0.12390723051077651,
KW,KWT,Kuwait,0.88,0.28,0.22,0.28,0.38,slow,0.78,IMF_AIV_2023,2023,True,high,Stage 1 very high (oil ~90% fiscal) but ~$700bn RSAL/GRF buffer dramatically dampens stages 2-5,0.027076434313168536,0.007719396456204148,,,0.13585412185203583,True,stage3_insufficient_data;stage4_insufficient_data,0.03930630613248707,0.03546305785594614,0.009916205267700595,0.0010616376986853345,,,,,0.24344903548445349,0.03795640815388639,
AE,ARE,United Arab Emirates,0.52,0.32,0.28,0.34,0.38,slow,0.8,IMF_AIV_2023,2023,True,high,Abu Dhabi oil-dependent; Dubai/Sharjah services-trade diversification and ADIA/ADQ buffers lower effective amplification,0.0009025268298153216,0.015898215830212503,,,0.06887421863509158,True,stage3_insufficient_data;stage4_insufficient_data,0.025881477464204935,0.03702343092731421,0.024687204179888733,0.025357444837923952,,,,,0.14963557931820706,0.014710773594992644,
QA,QAT,Qatar,0.72,0.28,0.22,0.28,0.34,slow,0.82,IMF_AIV_2023,2023,True,high,LNG long-term contracts provide revenue stability; QIA (~$475bn) cushions fiscal-to-inflation transmission,0.024501981058282506,0.048463788507352695,,,0.17623939157455806,True,stage3_insufficient_data;stage4_insufficient_data,0.010441355220536751,0.04352059544714619,0.05595091981385576,0.039106896799487395,,,,,0.35320671280445515,0.022042463061902984,
OM,OMN,Oman,0.78,0.52,0.46,0.48,0.52,medium,0.94,IMF_AIV_2023,2023,True,medium,Oil ~65-70% fiscal revenue; smaller SWF than GCC peers; partial subsidy reform leaves stages 2-3 exposed,0.0009165913100579621,0.019415053826390284,,,0.12161560743934179,True,stage3_insufficient_data;stage4_insufficient_data,0.03449977456089736,0.04436651308593576,0.02754361516069666,0.007764069592256781,,,,,0.16372130644907654,0.05642956748844892,
BH,BHR,Bahrain,0.82,0.68,0.58,0.58,0.62,fast,1.12,IMF_AIV_2023,2023,True,medium,Smallest GCC SWF; highest fiscal breakeven relative to buffers; extensive household subsidies maintain stage 2-4 sensitivity,0.004219012082761105,0.014581639398518677,,,0.030583643346607865,True,stage3_insufficient_data;stage4_insufficient_data,0.01911167172631808,0.03570162092979171,0.013949080555079894,0.013649857927240492,,,,,0.09574427528898152,0.025780255187859407,
DZ,DZA,Algeria,0.88,0.72,0.58,0.62,0.68,fast,1.18,IMF_AIV_2023,2023,True,medium,Hydrocarbons ~60% fiscal revenue; pervasive subsidy system and FX controls amplify fiscal-to-inflation transmission,0.007379688929513068,0.016333362836987275,,,0.09897295074023069,True,stage3_insufficient_data;stage4_insufficient_data,0.017838234158468438,0.0413486914710503,0.03023350763979449,0.04302035551835489,,,,,0.15899383711288767,0.027440716437378533,
LY,LBY,Libya,0.94,0.82,0.72,0.68,0.78,fast,1.38,IMF_REO_FRAG_2023,2023,True,low,Oil ~95% of export revenues; conflict disrupts subsidy distribution and fiscal management; structural amplification very high,0.09931743094015028,0.061452197115577846,,,0.3023953337769154,True,stage3_insufficient_data;stage4_insufficient_data,0.006559946815523943,0.2418205799843474,0.22941738448632146,0.05068803432459866,,,,,0.23444659827634443,0.33833190513091904,
IR,IRN,"Iran, Islamic Rep.",0.72,0.62,0.58,0.54,0.58,medium,1.08,IMF_REO_FRAG_2023,2023,True,low,Sanctions reduce effective oil-fiscal link but create FX distortions; structural inflation already embedded before oil shock,0.02502339184011046,0.12448322339874063,,,0.05883024493036874,True,stage3_insufficient_data;stage4_insufficient_data,0.015946122819911784,0.037433508543909526,0.09645325612975306,0.10754002662296193,,,,,0.053524434671331694,0.14977206194157683,
EG,EGY,"Egypt, Arab Rep.",0.38,0.62,0.52,0.58,0.52,medium,1.08,IMF_AIV_2023,2023,True,medium,Partial natural gas exporter; Suez fees and remittances dilute stage 1; large energy subsidy system sensitive in stages 2-4,0.009394643520310508,0.004900220215451085,,,0.11830154251783183,True,stage3_insufficient_data;stage4_insufficient_data,0.009562228217366877,0.009215671437659056,0.07536616540563382,0.04714179670055527,,,,,0.312705970766001,0.027058345062502983,
JO,JOR,Jordan,0.18,0.52,0.48,0.48,0.44,medium,1.04,IMF_AIV_2023,2023,True,medium,Pure oil importer (~22% of imports); limited fiscal space under IMF program; high structural unemployment amplifies stages 3-4,3.930370660822801e-05,0.027435867325944677,,,0.043677317781373445,True,stage3_insufficient_data;stage4_insufficient_data,1.2990181090728913e-06,9.046144687270956e-05,0.03694649312266308,0.012370801229510474,,,,,0.1216030881336134,0.017629789679829554,
LB,LBN,Lebanon,0.12,0.82,0.78,0.76,0.72,fast,1.32,IMF_REO_FRAG_2023,2023,True,low,Oil importer in fiscal/banking collapse; oil price shocks amplify existing hyperinflation and severe household poverty,0.0,0.6203207865206487,,,0.07293283862823077,True,stage3_insufficient_data;stage4_insufficient_data,0.0,0.0,0.0995166789082429,0.7474725131884924,,,,,0.1012605470580139,0.0478733352814581,
MA,MAR,Morocco,0.12,0.38,0.34,0.38,0.32,slow,0.88,IMF_AIV_2023,2023,True,medium,Pure importer; phosphate/tourism/remittances diversify revenues; completed subsidy reform 2014-15 reduces stages 2-3,6.08592047535481e-06,0.02662212546279194,,,0.02749512956511163,True,stage3_insufficient_data;stage4_insufficient_data,1.4021953784951548e-06,1.6158683018768724e-05,0.00021745116123775697,0.04252080226551569,,,,,0.053653941422647754,0.09217265164158657,
